player,score,kills,time,defends,deaths,game_id,KD,SPM,Kills,Deaths,Headshot Kills,Cur Killstreak,Damage,Damage Received,W1 Name,W1 KD,W1 Kills,W1 Headshot Kills,W1 Damage,W1 Headshot %,W1 Accuracy,W2 Name,W2 KD,W2 Kills,W2 Headshot Kills,W2 Damage,W2 Headshot %,W2 Accuracy
Baynful#9447034,5415,26,1:54,2,24,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
Ch0pstix#2199216,4325,22,1:25,4,17,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
Kimbo#1595500,5220,25,1:52,7,20,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
Luhstie#5110128,2880,13,1:08,2,20,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
Milio#3889077,4525,35,0:35,3,23,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
Pyro#6741468,2855,12,1:03,1,20,3.4211E+18,0.68,259,12,20,2,4,2663,3697,MCW,0.63,12,2,2600,16.67%,23.56%,RENETTI,0,0,0,0,0.00%,0.00%
[27]Playz#4812826,3625,25,0:10,1,25,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
bet#7438075,2415,13,0:34,2,25,3.4211E+18,,,,,,,,,,,,,,,,,,,,,,
Ch0pstix#2199216,3355,26,0:53,3,8,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
Kimbo#1595500,3660,20,0:41,3,13,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
Milio#3889077,4360,33,0:26,4,11,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
Pyro#6741468,4270,16,2:22,3,6,3.6734E+18,2.67,559,16,6,1,0,3008,1692,MCW,2.33,14,1,2565,7.14%,26.90%,RENETTI,0,0,0,99,0.00%,33.33%
[Abezy]Longschmeatl#4371429,1645,5,1:17,1,23,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
[Bland]Steeez2#1325368,1565,11,0:09,1,22,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
[WOW]steeezV11#1908011,2225,15,0:05,1,25,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
[steez]LeGooner69#1195977,1475,7,0:25,2,25,3.6734E+18,,,,,,,,,,,,,,,,,,,,,,
Ch0pstix#2199216,3570,13,1:37,2,14,3.82122E+18,,,,,,,,,,,,,,,,,,,,,,
Kimbo#1595500,4245,30,1:02,2,14,3.82122E+18,,,,,,,,,,,,,,,,,,,,,,
Milio#3889077,3540,26,0:04,1,13,3.82122E+18,,,,,,,,,,,,,,,,,,,,,,
Pyro#6741468,4355,27,1:38,3,12,3.82122E+18,2.25,437,27,12,7,0,4690,2614,MCW,3.4,17,6,2841,35.29%,24.74%,RENETTI,0.67,2,1,334,50.00%,22.22%
ZambieSZN#7587709,2635,16,0:11,1,24,3.82122E+18,,,,,,,,,,,,,,,,,,,,,,
Ch0pstix#2199216,3755,17,1:28,2,25,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
Kimbo#1595500,5305,28,1:33,4,24,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
Milio#3889077,5050,26,1:10,4,23,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
Pyro#6741468,4590,27,1:39,4,15,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
[R5]Denied#5061441,4635,27,1:01,2,18,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
[R5]Wookerr#2915792,3070,12,0:57,1,31,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
[R5]peej#6551735,3025,18,0:40,1,24,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
[r5]Itroq#4407208,5015,30,0:59,3,25,4.0435E+18,,,,,,,,,,,,,,,,,,,,,,
ASHWAGANDHA#8145286,2510,14,0:31,0,19,5.02717E+18,,,,,,,,,,,,,,,,,,,,,,
Ch0pstix#2199216,3480,18,1:08,5,16,5.02717E+18,,,,,,,,,,,,,,,,,,,,,,
ImPreziV#9275699,3070,19,0:52,1,23,5.02717E+18,,,,,,,,,,,,,,,,,,,,,,
Kimbo#1595500,3958,21,1:05,5,19,5.02717E+18,,,,,,,,,,,,,,,,,,,,,,
Milio#3889077,3165,18,0:24,0,22,5.02717E+18,,,,,,,,,,,,,,,,,,,,,,
Pyro#6741468,4550,23,2:00,4,12,5.02717E+18,1.92,483,23,12,4,0,3851,2712,MCW,2.1,21,4,3277,19.05%,30.17%,RENETTI,0,0,0,0,0.08%,0.00%
